limpe a lista a seguir e deixe somente as linhas que conterem failed: [  102.4037] I/Host: Status: Varredura 'Fighting-Force-SLUS-00433.chd'...
[  114.6335] I/Host: Status: Varredura 'Gex-2-Enter-The-Gecco-SLUS-00598.chd'...
[  114.6819] I/Host: Status: Varredura 'Gex-3-Deep-Cover-Gecko-SLUS-00806.chd'...
[  114.7197] I/Host: Status: Varredura 'Gex-Enter-The-Gecko-SLES-00596.chd'...
[  114.7554] I/Host: Status: Varredura 'Gex-SLUS-00042.chd'...
[  114.7909] I/Host: Status: Varredura 'Ghost-In-The-Shell-Koukakou-Kidoutai-SCPS-10043.chd'...
[  114.8137] I/Host: Status: Varredura 'Ghost-In-The-Shell-SLUS-00552.chd'...
[  114.8423] I/Host: Status: Varredura 'Ghoul-Panic-SLES-02543.chd'...
[  114.8860] I/Host: Status: Varredura 'Gi-Jockey-00-SLPM-86413.chd'...
[  115.0151] I/Host: Status: Varredura 'Gi-Jockey-SLPM-86195.chd'...
[  115.3123] I/Host: Status: Varredura 'Giftscop-2026-06-22-SLUS-00000.chd'...
[  115.3408] I/Host: Status: Varredura 'Giftscop-2026-07-12-SLUS-00000.chd'...
[  115.3808] I/Host: Status: Varredura 'Giftscop-Petscop-Ps1-Homebrew-SLPS-01311.chd'...
[  115.4332] I/Host: Status: Varredura 'Giftscop-Petscop-PS1-Homebrew-SLUS-00000.chd'...
[  115.4683] I/Host: Status: Varredura 'Ginga-Eiyuu-Densetsu-SCPS-45229.chd'...
[  115.5772] I/Host: Status: Varredura 'Ginga-O-Jousama-Densetsu-Yuna-Final-Edition-SLPS-01451.chd'...
[  115.6185] I/Host: Status: Varredura 'Ginga-Ojousama-Densetsu-Yuna-Final-Edition-SLPS-03636.chd'...
[  115.6873] I/Host: Status: Varredura 'Gion-Hana-2-SLPS-01858.chd'...
[  115.7573] I/Host: Status: Varredura 'Gion-Hana-SLPS-00132.chd'...
[  115.8276] I/Host: Status: Varredura 'Glay-Complete-Works-SLPM-86226.chd'...
[  115.8934] I/Host: Status: Varredura 'Glint-Glitters-SLPM-86200.chd'...
[  115.9277] I/Host: Status: Varredura 'Global-Domination-SLUS-00721.chd'...
[  115.9805] I/Host: Status: Varredura 'Global-Force-SCPS-10082.chd'...
[  116.0116] I/Host: Status: Varredura 'Glocal-Hexcite-SLPS-02425.chd'...
[  116.0497] I/Host: Status: Varredura 'Glover-SLUS-00890.chd'...
[  116.0866] I/Host: Status: Varredura 'Go-II-Professional-Taikyoku-Igo-SLPS-00528.chd'...
[  116.1494] I/Host: Status: Varredura 'Go-Jin-Senki-SLPS-01471.chd'...
[  116.1965] I/Host: Status: Varredura 'Goal-Storm-'97-SLUS-00295.chd'...
